SolutionNum,Move1,Move2,Move3,Move4,Move5,Move6,Move7,Move8,Move9,Move10,Move11,Move12,Move13
1,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(12, 5)","(13, 6)","(2, 9)","(3, 10)","(15, 6)","(6, 13)","(14, 12)","(11, 13)"
2,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(12, 5)","(13, 6)","(3, 10)","(2, 9)","(15, 6)","(6, 13)","(14, 12)","(11, 13)"
3,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(12, 5)","(13, 6)","(3, 10)","(15, 6)","(2, 9)","(6, 13)","(14, 12)","(11, 13)"
4,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(12, 5)","(14, 12)","(11, 13)","(13, 6)","(2, 9)","(3, 10)","(15, 6)","(6, 13)"
5,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(12, 5)","(14, 12)","(11, 13)","(13, 6)","(3, 10)","(2, 9)","(15, 6)","(6, 13)"
6,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(12, 5)","(14, 12)","(11, 13)","(13, 6)","(3, 10)","(15, 6)","(2, 9)","(6, 13)"
7,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(12, 5)","(14, 12)","(11, 13)","(13, 6)","(3, 10)","(15, 6)","(6, 4)","(2, 7)"
8,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(12, 5)","(14, 12)","(11, 13)","(13, 6)","(3, 10)","(15, 6)","(6, 4)","(4, 1)"
9,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(2, 7)","(11, 4)","(14, 5)","(3, 8)","(4, 13)","(12, 14)","(15, 13)"
10,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(2, 7)","(11, 4)","(15, 13)","(12, 14)","(14, 5)","(3, 8)","(4, 13)"
11,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(2, 7)","(11, 4)","(15, 13)","(12, 14)","(14, 5)","(4, 6)","(3, 10)"
12,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(2, 7)","(11, 4)","(15, 13)","(12, 14)","(14, 5)","(4, 6)","(6, 1)"
13,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(2, 7)","(14, 5)","(3, 8)","(11, 4)","(4, 13)","(12, 14)","(15, 13)"
14,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(2, 7)","(14, 5)","(11, 4)","(3, 8)","(4, 13)","(12, 14)","(15, 13)"
15,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(2, 7)","(15, 13)","(11, 4)","(12, 14)","(14, 5)","(3, 8)","(4, 13)"
16,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(2, 7)","(15, 13)","(11, 4)","(12, 14)","(14, 5)","(4, 6)","(3, 10)"
17,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(2, 7)","(15, 13)","(11, 4)","(12, 14)","(14, 5)","(4, 6)","(6, 1)"
18,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(2, 7)","(15, 13)","(12, 14)","(11, 4)","(14, 5)","(3, 8)","(4, 13)"
19,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(2, 7)","(15, 13)","(12, 14)","(11, 4)","(14, 5)","(4, 6)","(3, 10)"
20,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(2, 7)","(15, 13)","(12, 14)","(11, 4)","(14, 5)","(4, 6)","(6, 1)"
21,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(2, 7)","(15, 13)","(12, 14)","(14, 5)","(3, 8)","(11, 4)","(4, 13)"
22,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(2, 7)","(15, 13)","(12, 14)","(14, 5)","(11, 4)","(3, 8)","(4, 13)"
23,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(2, 7)","(15, 13)","(12, 14)","(14, 5)","(11, 4)","(4, 6)","(3, 10)"
24,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(2, 7)","(15, 13)","(12, 14)","(14, 5)","(11, 4)","(4, 6)","(6, 1)"
25,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(4, 1)","(1, 6)","(11, 13)","(14, 12)","(6, 13)","(12, 14)","(15, 13)"
26,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(4, 1)","(1, 6)","(15, 13)","(12, 14)","(6, 13)","(14, 12)","(11, 13)"
27,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(4, 1)","(11, 13)","(1, 6)","(14, 12)","(6, 13)","(12, 14)","(15, 13)"
28,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(4, 1)","(11, 13)","(14, 12)","(1, 6)","(6, 13)","(12, 14)","(15, 13)"
29,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(4, 1)","(15, 13)","(1, 6)","(12, 14)","(6, 13)","(14, 12)","(11, 13)"
30,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(4, 1)","(15, 13)","(12, 14)","(1, 6)","(6, 13)","(14, 12)","(11, 13)"
31,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(11, 13)","(4, 1)","(1, 6)","(14, 12)","(6, 13)","(12, 14)","(15, 13)"
32,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(11, 13)","(4, 1)","(14, 12)","(1, 6)","(6, 13)","(12, 14)","(15, 13)"
33,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(11, 13)","(14, 12)","(4, 1)","(1, 6)","(6, 13)","(12, 14)","(15, 13)"
34,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(14, 5)","(2, 7)","(3, 8)","(11, 4)","(4, 13)","(12, 14)","(15, 13)"
35,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(14, 5)","(2, 7)","(11, 4)","(3, 8)","(4, 13)","(12, 14)","(15, 13)"
36,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(14, 5)","(3, 8)","(2, 7)","(11, 4)","(4, 13)","(12, 14)","(15, 13)"
37,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(15, 13)","(2, 7)","(11, 4)","(12, 14)","(14, 5)","(3, 8)","(4, 13)"
38,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(15, 13)","(2, 7)","(11, 4)","(12, 14)","(14, 5)","(4, 6)","(3, 10)"
39,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(15, 13)","(2, 7)","(11, 4)","(12, 14)","(14, 5)","(4, 6)","(6, 1)"
40,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(15, 13)","(2, 7)","(12, 14)","(11, 4)","(14, 5)","(3, 8)","(4, 13)"
41,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(15, 13)","(2, 7)","(12, 14)","(11, 4)","(14, 5)","(4, 6)","(3, 10)"
42,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(15, 13)","(2, 7)","(12, 14)","(11, 4)","(14, 5)","(4, 6)","(6, 1)"
43,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(15, 13)","(2, 7)","(12, 14)","(14, 5)","(3, 8)","(11, 4)","(4, 13)"
44,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(15, 13)","(2, 7)","(12, 14)","(14, 5)","(11, 4)","(3, 8)","(4, 13)"
45,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(15, 13)","(2, 7)","(12, 14)","(14, 5)","(11, 4)","(4, 6)","(3, 10)"
46,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(15, 13)","(2, 7)","(12, 14)","(14, 5)","(11, 4)","(4, 6)","(6, 1)"
47,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(15, 13)","(4, 1)","(1, 6)","(12, 14)","(6, 13)","(14, 12)","(11, 13)"
48,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(15, 13)","(4, 1)","(12, 14)","(1, 6)","(6, 13)","(14, 12)","(11, 13)"
49,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(15, 13)","(12, 14)","(2, 7)","(11, 4)","(14, 5)","(3, 8)","(4, 13)"
50,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(15, 13)","(12, 14)","(2, 7)","(11, 4)","(14, 5)","(4, 6)","(3, 10)"
51,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(15, 13)","(12, 14)","(2, 7)","(11, 4)","(14, 5)","(4, 6)","(6, 1)"
52,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(15, 13)","(12, 14)","(2, 7)","(14, 5)","(3, 8)","(11, 4)","(4, 13)"
53,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(15, 13)","(12, 14)","(2, 7)","(14, 5)","(11, 4)","(3, 8)","(4, 13)"
54,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(15, 13)","(12, 14)","(2, 7)","(14, 5)","(11, 4)","(4, 6)","(3, 10)"
55,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(15, 13)","(12, 14)","(2, 7)","(14, 5)","(11, 4)","(4, 6)","(6, 1)"
56,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(15, 13)","(12, 14)","(4, 1)","(1, 6)","(6, 13)","(14, 12)","(11, 13)"
57,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(15, 13)","(12, 14)","(14, 5)","(2, 7)","(3, 8)","(11, 4)","(4, 13)"
58,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(15, 13)","(12, 14)","(14, 5)","(2, 7)","(11, 4)","(3, 8)","(4, 13)"
59,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(15, 13)","(12, 14)","(14, 5)","(2, 7)","(11, 4)","(4, 6)","(3, 10)"
60,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(15, 13)","(12, 14)","(14, 5)","(2, 7)","(11, 4)","(4, 6)","(6, 1)"
61,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(15, 13)","(12, 14)","(14, 5)","(3, 8)","(2, 7)","(11, 4)","(4, 13)"
62,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(3, 10)","(11, 13)","(14, 12)","(12, 5)","(2, 9)","(15, 6)","(6, 13)"
63,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(3, 10)","(11, 13)","(14, 12)","(12, 5)","(15, 6)","(2, 9)","(6, 13)"
64,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(3, 10)","(11, 13)","(14, 12)","(12, 5)","(15, 6)","(6, 4)","(2, 7)"
65,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(3, 10)","(11, 13)","(14, 12)","(12, 5)","(15, 6)","(6, 4)","(4, 1)"
66,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(3, 10)","(11, 13)","(14, 12)","(15, 6)","(12, 5)","(2, 9)","(6, 13)"
67,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(3, 10)","(11, 13)","(14, 12)","(15, 6)","(12, 5)","(6, 4)","(2, 7)"
68,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(3, 10)","(11, 13)","(14, 12)","(15, 6)","(12, 5)","(6, 4)","(4, 1)"
69,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(3, 10)","(11, 13)","(15, 6)","(14, 12)","(12, 5)","(2, 9)","(6, 13)"
70,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(3, 10)","(11, 13)","(15, 6)","(14, 12)","(12, 5)","(6, 4)","(2, 7)"
71,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(3, 10)","(11, 13)","(15, 6)","(14, 12)","(12, 5)","(6, 4)","(4, 1)"
72,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(3, 10)","(12, 5)","(2, 9)","(15, 6)","(6, 13)","(14, 12)","(11, 13)"
73,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(3, 10)","(12, 5)","(15, 6)","(2, 9)","(6, 13)","(14, 12)","(11, 13)"
74,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(3, 10)","(15, 6)","(11, 13)","(14, 12)","(12, 5)","(2, 9)","(6, 13)"
75,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(3, 10)","(15, 6)","(11, 13)","(14, 12)","(12, 5)","(6, 4)","(2, 7)"
76,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(3, 10)","(15, 6)","(11, 13)","(14, 12)","(12, 5)","(6, 4)","(4, 1)"
77,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(3, 10)","(15, 6)","(12, 5)","(2, 9)","(6, 13)","(14, 12)","(11, 13)"
78,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(6, 1)","(1, 4)","(11, 13)","(14, 12)","(4, 13)","(12, 14)","(15, 13)"
79,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(6, 1)","(1, 4)","(15, 13)","(12, 14)","(4, 13)","(14, 12)","(11, 13)"
80,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(6, 1)","(11, 13)","(1, 4)","(14, 12)","(4, 13)","(12, 14)","(15, 13)"
81,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(6, 1)","(11, 13)","(14, 12)","(1, 4)","(4, 13)","(12, 14)","(15, 13)"
82,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(6, 1)","(15, 13)","(1, 4)","(12, 14)","(4, 13)","(14, 12)","(11, 13)"
83,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(6, 1)","(15, 13)","(12, 14)","(1, 4)","(4, 13)","(14, 12)","(11, 13)"
84,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(11, 13)","(3, 10)","(14, 12)","(12, 5)","(2, 9)","(15, 6)","(6, 13)"
85,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(11, 13)","(3, 10)","(14, 12)","(12, 5)","(15, 6)","(2, 9)","(6, 13)"
86,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(11, 13)","(3, 10)","(14, 12)","(12, 5)","(15, 6)","(6, 4)","(2, 7)"
87,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(11, 13)","(3, 10)","(14, 12)","(12, 5)","(15, 6)","(6, 4)","(4, 1)"
88,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(11, 13)","(3, 10)","(14, 12)","(15, 6)","(12, 5)","(2, 9)","(6, 13)"
89,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(11, 13)","(3, 10)","(14, 12)","(15, 6)","(12, 5)","(6, 4)","(2, 7)"
90,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(11, 13)","(3, 10)","(14, 12)","(15, 6)","(12, 5)","(6, 4)","(4, 1)"
91,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(11, 13)","(3, 10)","(15, 6)","(14, 12)","(12, 5)","(2, 9)","(6, 13)"
92,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(11, 13)","(3, 10)","(15, 6)","(14, 12)","(12, 5)","(6, 4)","(2, 7)"
93,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(11, 13)","(3, 10)","(15, 6)","(14, 12)","(12, 5)","(6, 4)","(4, 1)"
94,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(11, 13)","(6, 1)","(1, 4)","(14, 12)","(4, 13)","(12, 14)","(15, 13)"
95,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(11, 13)","(6, 1)","(14, 12)","(1, 4)","(4, 13)","(12, 14)","(15, 13)"
96,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(11, 13)","(14, 12)","(3, 10)","(12, 5)","(2, 9)","(15, 6)","(6, 13)"
97,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(11, 13)","(14, 12)","(3, 10)","(12, 5)","(15, 6)","(2, 9)","(6, 13)"
98,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(11, 13)","(14, 12)","(3, 10)","(12, 5)","(15, 6)","(6, 4)","(2, 7)"
99,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(11, 13)","(14, 12)","(3, 10)","(12, 5)","(15, 6)","(6, 4)","(4, 1)"
100,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(11, 13)","(14, 12)","(3, 10)","(15, 6)","(12, 5)","(2, 9)","(6, 13)"
101,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(11, 13)","(14, 12)","(3, 10)","(15, 6)","(12, 5)","(6, 4)","(2, 7)"
102,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(11, 13)","(14, 12)","(3, 10)","(15, 6)","(12, 5)","(6, 4)","(4, 1)"
103,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(11, 13)","(14, 12)","(6, 1)","(1, 4)","(4, 13)","(12, 14)","(15, 13)"
104,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(11, 13)","(14, 12)","(12, 5)","(2, 9)","(3, 10)","(15, 6)","(6, 13)"
105,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(11, 13)","(14, 12)","(12, 5)","(3, 10)","(2, 9)","(15, 6)","(6, 13)"
106,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(11, 13)","(14, 12)","(12, 5)","(3, 10)","(15, 6)","(2, 9)","(6, 13)"
107,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(11, 13)","(14, 12)","(12, 5)","(3, 10)","(15, 6)","(6, 4)","(2, 7)"
108,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(11, 13)","(14, 12)","(12, 5)","(3, 10)","(15, 6)","(6, 4)","(4, 1)"
109,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(12, 5)","(2, 9)","(3, 10)","(15, 6)","(6, 13)","(14, 12)","(11, 13)"
110,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(12, 5)","(3, 10)","(2, 9)","(15, 6)","(6, 13)","(14, 12)","(11, 13)"
111,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(12, 5)","(3, 10)","(15, 6)","(2, 9)","(6, 13)","(14, 12)","(11, 13)"
112,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(15, 13)","(6, 1)","(1, 4)","(12, 14)","(4, 13)","(14, 12)","(11, 13)"
113,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(15, 13)","(6, 1)","(12, 14)","(1, 4)","(4, 13)","(14, 12)","(11, 13)"
114,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 6)","(15, 13)","(12, 14)","(6, 1)","(1, 4)","(4, 13)","(14, 12)","(11, 13)"
115,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(14, 5)","(12, 14)","(15, 13)","(13, 4)","(2, 7)","(3, 8)","(11, 4)","(4, 13)"
116,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(14, 5)","(12, 14)","(15, 13)","(13, 4)","(2, 7)","(11, 4)","(3, 8)","(4, 13)"
117,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(14, 5)","(12, 14)","(15, 13)","(13, 4)","(2, 7)","(11, 4)","(4, 6)","(3, 10)"
118,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(14, 5)","(12, 14)","(15, 13)","(13, 4)","(2, 7)","(11, 4)","(4, 6)","(6, 1)"
119,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(14, 5)","(12, 14)","(15, 13)","(13, 4)","(3, 8)","(2, 7)","(11, 4)","(4, 13)"
120,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(14, 5)","(13, 4)","(2, 7)","(3, 8)","(11, 4)","(4, 13)","(12, 14)","(15, 13)"
121,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(14, 5)","(13, 4)","(2, 7)","(11, 4)","(3, 8)","(4, 13)","(12, 14)","(15, 13)"
122,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(14, 5)","(13, 4)","(3, 8)","(2, 7)","(11, 4)","(4, 13)","(12, 14)","(15, 13)"
123,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(12, 5)","(6, 4)","(2, 7)","(10, 8)","(11, 4)","(14, 12)","(4, 13)","(12, 14)","(15, 13)"
124,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(12, 5)","(6, 4)","(2, 7)","(10, 8)","(14, 12)","(11, 4)","(4, 13)","(12, 14)","(15, 13)"
125,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(12, 5)","(6, 4)","(2, 7)","(11, 4)","(10, 8)","(14, 12)","(4, 13)","(12, 14)","(15, 13)"
126,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(12, 5)","(6, 4)","(2, 7)","(11, 4)","(14, 12)","(10, 8)","(4, 13)","(12, 14)","(15, 13)"
127,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(12, 5)","(6, 4)","(2, 7)","(14, 12)","(10, 8)","(11, 4)","(4, 13)","(12, 14)","(15, 13)"
128,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(12, 5)","(6, 4)","(2, 7)","(14, 12)","(11, 4)","(10, 8)","(4, 13)","(12, 14)","(15, 13)"
129,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(12, 5)","(6, 4)","(10, 8)","(2, 7)","(11, 4)","(14, 12)","(4, 13)","(12, 14)","(15, 13)"
130,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(12, 5)","(6, 4)","(10, 8)","(2, 7)","(14, 12)","(11, 4)","(4, 13)","(12, 14)","(15, 13)"
131,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(12, 5)","(6, 4)","(10, 8)","(14, 12)","(2, 7)","(11, 4)","(4, 13)","(12, 14)","(15, 13)"
132,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(12, 5)","(6, 4)","(14, 12)","(2, 7)","(10, 8)","(11, 4)","(4, 13)","(12, 14)","(15, 13)"
133,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(12, 5)","(6, 4)","(14, 12)","(2, 7)","(11, 4)","(10, 8)","(4, 13)","(12, 14)","(15, 13)"
134,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(12, 5)","(6, 4)","(14, 12)","(10, 8)","(2, 7)","(11, 4)","(4, 13)","(12, 14)","(15, 13)"
135,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(12, 5)","(10, 3)","(13, 6)","(2, 9)","(3, 10)","(15, 6)","(6, 13)","(14, 12)","(11, 13)"
136,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(12, 5)","(10, 3)","(13, 6)","(3, 10)","(2, 9)","(15, 6)","(6, 13)","(14, 12)","(11, 13)"
137,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(12, 5)","(10, 3)","(13, 6)","(3, 10)","(15, 6)","(2, 9)","(6, 13)","(14, 12)","(11, 13)"
138,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(12, 5)","(10, 3)","(14, 12)","(11, 13)","(13, 6)","(2, 9)","(3, 10)","(15, 6)","(6, 13)"
139,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(12, 5)","(10, 3)","(14, 12)","(11, 13)","(13, 6)","(3, 10)","(2, 9)","(15, 6)","(6, 13)"
140,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(12, 5)","(10, 3)","(14, 12)","(11, 13)","(13, 6)","(3, 10)","(15, 6)","(2, 9)","(6, 13)"
141,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(12, 5)","(10, 3)","(14, 12)","(11, 13)","(13, 6)","(3, 10)","(15, 6)","(6, 4)","(2, 7)"
142,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(12, 5)","(10, 3)","(14, 12)","(11, 13)","(13, 6)","(3, 10)","(15, 6)","(6, 4)","(4, 1)"
143,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(12, 5)","(10, 8)","(6, 4)","(2, 7)","(11, 4)","(14, 12)","(4, 13)","(12, 14)","(15, 13)"
144,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(12, 5)","(10, 8)","(6, 4)","(2, 7)","(14, 12)","(11, 4)","(4, 13)","(12, 14)","(15, 13)"
145,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(12, 5)","(10, 8)","(6, 4)","(14, 12)","(2, 7)","(11, 4)","(4, 13)","(12, 14)","(15, 13)"
146,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(12, 5)","(10, 8)","(14, 12)","(6, 4)","(2, 7)","(11, 4)","(4, 13)","(12, 14)","(15, 13)"
